channel,samples,occupancy_fraction,hg_mean,hg_median,hg_std,hg_p95,lg_mean,lg_median,mip_pedestal_hg,mip_threshold_hg,mip_peak_hg
0,22643,0.015625,516.1832354370003,108.0,1085.9733497876755,3039.899999999998,265.7023362628627,110.0,108.0,167.304,228.1555076923077
1,22643,0.015625,524.3822373360421,107.0,1099.0528002176256,2991.899999999998,268.4054233096321,110.0,107.0,166.304,226.95550769230766
2,22643,0.015625,488.8751932164466,110.0,997.9907540063635,2703.899999999998,248.58914454798392,108.0,110.0,169.304,231.57271874999998
3,22643,0.015625,488.95729364483503,111.0,974.3286216807096,2663.7999999999956,253.41982069513756,113.0,111.0,170.304,226.4991940298504
4,22643,0.015625,523.4767919445303,109.0,1065.5322971205326,2902.0,263.86353398401275,109.0,109.0,168.304,227.69725373134327
5,22643,0.015625,105.44720222585346,102.0,51.69938638502862,120.0,106.71289140131609,106.0,102.0,150.0,187.04583333333332
6,22643,0.015625,361.87126264187606,107.0,701.50702370176,1975.8999999999978,200.0384224705207,111.0,107.0,181.13,217.92874999999998
7,22643,0.015625,264.6331758159254,118.0,489.47006744248796,1522.0,163.5740847060902,112.0,118.0,236.608,1518.429265957453
8,22643,0.015625,373.30490659364926,106.0,974.4708717906439,2574.0,210.40299430287507,107.0,106.0,157.891,237.17208999999997
9,22643,0.015625,433.7258313827673,109.0,903.9221754642839,2392.0,228.11085103564017,109.0,109.0,168.304,231.6825396825397
10,22643,0.015625,515.3623194806341,111.0,1068.023683825486,2862.0,262.66479706752637,112.0,111.0,170.304,231.59396923076923
11,22643,0.015625,470.19370224793533,111.0,953.2589262666706,2577.899999999998,243.66148478558495,111.0,111.0,177.71699999999998,234.87271538461536
12,22643,0.015625,565.3146667844367,110.0,1165.7669766946292,3104.0,281.60994567857614,109.0,110.0,176.71699999999998,235.95791791044775
13,22643,0.015625,334.8415845956808,111.0,823.5232896587326,2128.6999999999935,192.94121803647926,108.0,111.0,170.304,245.21622641509435
14,22643,0.015625,312.95866272137084,110.0,782.9698152741594,1964.8999999999978,184.54197765313785,109.0,110.0,176.71699999999998,244.84012931034482
15,22643,0.015625,366.78695402552665,112.0,833.1160151337621,2175.0,200.0730026939893,108.0,112.0,215.78199999999998,278.57738095238096
16,22643,0.015625,101.96965949741642,101.0,7.22991106529289,115.0,102.50633749944795,102.0,101.0,150.0,
17,22643,0.015625,110.93110453561808,110.0,8.444739780194455,125.0,106.54873470829837,106.0,110.0,154.478,
18,22643,0.015625,108.48615466148479,108.0,8.547314891825238,123.0,106.88861899924922,106.0,108.0,152.478,
19,22643,0.015625,102.99271297972884,103.0,7.9077728205755555,117.0,106.03427107715409,106.0,103.0,150.0,
20,22643,0.015625,107.30358168087268,107.0,7.721597648388138,121.0,109.39213001810714,109.0,107.0,150.0,
21,22643,0.015625,102.1295764695491,102.0,7.964717671202226,116.0,106.53323322881243,106.0,102.0,150.0,
22,22643,0.015625,223.0760058296162,114.0,370.1435866081549,1151.8999999999978,147.6017753831206,109.0,114.0,210.36899999999997,1106.4507934782628
23,22643,0.015625,224.30561321379676,114.0,374.0398295252861,1165.0,145.73258843792783,106.0,114.0,210.36899999999997,1114.979326086957
24,22643,0.015625,109.79874574923818,109.0,7.975423441692343,124.0,107.36735414918518,107.0,109.0,150.0,
25,22643,0.015625,110.84198206951376,110.0,8.68971935877822,126.0,107.51004725522236,107.0,110.0,154.478,
26,22643,0.015625,104.01784215872455,103.0,7.528188402468207,117.0,106.88274521927306,107.0,103.0,150.0,
27,22643,0.015625,105.79265115046593,105.0,8.714381506732975,121.0,108.8851300622709,109.0,105.0,150.0,
28,22643,0.015625,108.20774632336705,108.0,8.717850474562422,123.0,108.72976195733781,108.0,108.0,152.478,
29,22643,0.015625,110.80073311840304,110.0,8.716011730096922,126.0,108.23720355076624,108.0,110.0,154.478,
30,22643,0.015625,110.0639932871086,110.0,8.83811497802261,125.0,107.33829439561896,107.0,110.0,154.478,
31,22643,0.015625,110.64523252219229,110.0,8.426302169308869,125.0,107.31206112264276,107.0,110.0,150.0,
32,22643,0.015625,104.09490791856203,104.0,7.578734928082976,117.0,107.38572627302035,107.0,104.0,150.0,
33,22643,0.015625,102.64130194762178,102.0,6.875388975497638,115.0,105.68316919136157,105.0,102.0,150.0,
34,22643,0.015625,104.57077242414874,104.0,7.688743972260151,118.0,106.40113942498786,106.0,104.0,150.0,
35,22643,0.015625,104.84728172062006,105.0,7.6417832429580566,118.0,104.16508413196131,104.0,105.0,150.0,
36,22643,0.015625,104.35675484697258,104.0,6.50190686207462,116.0,105.88495340723402,105.0,104.0,150.0,
37,22643,0.015625,103.54228679945237,103.0,7.796942307095291,117.0,105.68202093362187,106.0,103.0,150.0,
38,22643,0.015625,105.50982643642627,105.0,8.015967381256244,119.0,107.13059223601113,107.0,105.0,150.0,
39,22643,0.015625,103.71161065229872,103.0,7.523176859636227,117.0,105.17325442741686,105.0,103.0,150.0,
