timestamp_utc,events,multiplicity_hg_mean,multiplicity_hg_std,multiplicity_lg_mean,multiplicity_lg_std,multiplicity_hg_sem,multiplicity_lg_sem,timestamp_local
2026-02-19 21:40:00+00:00,61,2.8525,0.8532,2.0984,0.3514,0.1092,0.045,2026-02-19 13:40:00-08:00
2026-02-19 21:41:00+00:00,123,2.8293,0.7322,2.122,0.3286,0.066,0.0296,2026-02-19 13:41:00-08:00
2026-02-19 21:42:00+00:00,100,2.9,1.1677,2.07,0.4768,0.1168,0.0477,2026-02-19 13:42:00-08:00
2026-02-19 21:43:00+00:00,115,2.913,1.0393,2.2522,0.59,0.0969,0.055,2026-02-19 13:43:00-08:00
2026-02-19 21:44:00+00:00,113,2.8142,0.9406,2.2301,0.5826,0.0885,0.0548,2026-02-19 13:44:00-08:00
2026-02-19 21:45:00+00:00,131,2.855,0.9697,2.1527,0.4553,0.0847,0.0398,2026-02-19 13:45:00-08:00
2026-02-19 21:46:00+00:00,103,3.0485,1.097,2.301,0.6077,0.1081,0.0599,2026-02-19 13:46:00-08:00
2026-02-19 21:47:00+00:00,113,2.8319,0.8753,2.2124,0.5253,0.0823,0.0494,2026-02-19 13:47:00-08:00
2026-02-19 21:48:00+00:00,105,2.7524,0.8178,2.219,0.588,0.0798,0.0574,2026-02-19 13:48:00-08:00
2026-02-19 21:49:00+00:00,101,2.9901,1.0246,2.2376,0.5504,0.102,0.0548,2026-02-19 13:49:00-08:00
2026-02-19 21:50:00+00:00,101,2.7921,0.8639,2.198,0.5481,0.086,0.0545,2026-02-19 13:50:00-08:00
2026-02-19 21:51:00+00:00,94,2.9362,1.0657,2.2128,0.62,0.1099,0.0639,2026-02-19 13:51:00-08:00
2026-02-19 21:52:00+00:00,100,2.74,0.9279,2.24,0.5148,0.0928,0.0515,2026-02-19 13:52:00-08:00
2026-02-19 21:53:00+00:00,115,2.9739,1.1429,2.313,0.7418,0.1066,0.0692,2026-02-19 13:53:00-08:00
2026-02-19 21:54:00+00:00,117,3.0171,1.6866,2.2222,0.574,0.1559,0.0531,2026-02-19 13:54:00-08:00
2026-02-19 21:55:00+00:00,101,2.7525,0.9209,2.2178,0.5404,0.0916,0.0538,2026-02-19 13:55:00-08:00
2026-02-19 21:56:00+00:00,93,3.043,1.1025,2.1935,0.5162,0.1143,0.0535,2026-02-19 13:56:00-08:00
2026-02-19 21:57:00+00:00,136,2.9853,1.0886,2.3015,0.6125,0.0933,0.0525,2026-02-19 13:57:00-08:00
2026-02-19 21:58:00+00:00,107,2.8224,1.0886,2.2523,0.9526,0.1052,0.0921,2026-02-19 13:58:00-08:00
2026-02-19 21:59:00+00:00,102,3.0,1.0436,2.3333,0.65,0.1033,0.0644,2026-02-19 13:59:00-08:00
2026-02-19 22:00:00+00:00,120,2.95,0.9601,2.275,0.7096,0.0876,0.0648,2026-02-19 14:00:00-08:00
2026-02-19 22:01:00+00:00,116,2.6897,0.7958,2.1293,0.4071,0.0739,0.0378,2026-02-19 14:01:00-08:00
2026-02-19 22:02:00+00:00,110,2.8273,0.966,2.1182,0.3767,0.0921,0.0359,2026-02-19 14:02:00-08:00
2026-02-19 22:03:00+00:00,120,2.7833,0.8519,2.2583,0.5724,0.0778,0.0523,2026-02-19 14:03:00-08:00
2026-02-19 22:04:00+00:00,127,2.7638,0.84,2.1732,0.4895,0.0745,0.0434,2026-02-19 14:04:00-08:00
2026-02-19 22:05:00+00:00,114,2.7719,0.9221,2.193,0.4956,0.0864,0.0464,2026-02-19 14:05:00-08:00
2026-02-19 22:06:00+00:00,113,2.6549,0.7766,2.1947,0.4403,0.0731,0.0414,2026-02-19 14:06:00-08:00
2026-02-19 22:07:00+00:00,114,2.7807,0.8493,2.2281,0.5327,0.0795,0.0499,2026-02-19 14:07:00-08:00
2026-02-19 22:08:00+00:00,123,2.8049,0.9023,2.1789,0.4622,0.0814,0.0417,2026-02-19 14:08:00-08:00
2026-02-19 22:09:00+00:00,112,2.6964,0.9088,2.1696,0.4628,0.0859,0.0437,2026-02-19 14:09:00-08:00
2026-02-19 22:10:00+00:00,110,2.7636,0.8875,2.1818,0.4728,0.0846,0.0451,2026-02-19 14:10:00-08:00
2026-02-19 22:11:00+00:00,102,2.7843,0.9913,2.1863,0.439,0.0982,0.0435,2026-02-19 14:11:00-08:00
2026-02-19 22:12:00+00:00,115,2.9217,1.6814,2.1913,0.5444,0.1568,0.0508,2026-02-19 14:12:00-08:00
2026-02-19 22:13:00+00:00,109,2.7615,0.8703,2.1927,0.461,0.0834,0.0442,2026-02-19 14:13:00-08:00
2026-02-19 22:14:00+00:00,122,2.9262,1.0055,2.2951,0.5848,0.091,0.0529,2026-02-19 14:14:00-08:00
2026-02-19 22:15:00+00:00,108,2.8889,0.9103,2.2685,0.5571,0.0876,0.0536,2026-02-19 14:15:00-08:00
2026-02-19 22:16:00+00:00,107,2.7009,0.9538,2.2056,0.5091,0.0922,0.0492,2026-02-19 14:16:00-08:00
2026-02-19 22:17:00+00:00,136,2.9044,0.8767,2.2059,0.5036,0.0752,0.0432,2026-02-19 14:17:00-08:00
2026-02-19 22:18:00+00:00,120,2.7,0.8362,2.1333,0.4086,0.0763,0.0373,2026-02-19 14:18:00-08:00
2026-02-19 22:19:00+00:00,92,2.8804,1.1845,2.2826,0.789,0.1235,0.0823,2026-02-19 14:19:00-08:00
2026-02-19 22:20:00+00:00,109,2.9083,0.8557,2.3486,0.6579,0.082,0.063,2026-02-19 14:20:00-08:00
2026-02-19 22:21:00+00:00,117,2.6752,0.839,2.2479,0.5399,0.0776,0.0499,2026-02-19 14:21:00-08:00
2026-02-19 22:22:00+00:00,110,2.6727,0.8685,2.2182,0.6264,0.0828,0.0597,2026-02-19 14:22:00-08:00
2026-02-19 22:23:00+00:00,109,2.7982,0.9307,2.1835,0.5122,0.0891,0.0491,2026-02-19 14:23:00-08:00
2026-02-19 22:24:00+00:00,120,2.8417,0.9526,2.2083,0.5926,0.087,0.0541,2026-02-19 14:24:00-08:00
2026-02-19 22:25:00+00:00,92,2.6304,0.7805,2.1848,0.4901,0.0814,0.0511,2026-02-19 14:25:00-08:00
2026-02-19 22:26:00+00:00,102,2.9216,0.9819,2.2255,0.5056,0.0972,0.0501,2026-02-19 14:26:00-08:00
2026-02-19 22:27:00+00:00,115,2.7652,0.9582,2.2348,0.5514,0.0893,0.0514,2026-02-19 14:27:00-08:00
2026-02-19 22:28:00+00:00,105,2.7524,0.907,2.2381,0.5968,0.0885,0.0582,2026-02-19 14:28:00-08:00
2026-02-19 22:29:00+00:00,96,2.6667,0.7206,2.1667,0.4739,0.0735,0.0484,2026-02-19 14:29:00-08:00
2026-02-19 22:30:00+00:00,120,2.6833,0.8791,2.1917,0.5545,0.0803,0.0506,2026-02-19 14:30:00-08:00
2026-02-19 22:31:00+00:00,121,2.8017,0.8526,2.1818,0.4472,0.0775,0.0407,2026-02-19 14:31:00-08:00
2026-02-19 22:32:00+00:00,137,2.8467,0.9147,2.1387,0.387,0.0781,0.0331,2026-02-19 14:32:00-08:00
2026-02-19 22:33:00+00:00,102,2.6765,0.7728,2.2451,0.5876,0.0765,0.0582,2026-02-19 14:33:00-08:00
2026-02-19 22:34:00+00:00,110,2.8909,0.9986,2.3091,0.6019,0.0952,0.0574,2026-02-19 14:34:00-08:00
2026-02-19 22:35:00+00:00,91,2.8352,0.8977,2.1538,0.4196,0.0941,0.044,2026-02-19 14:35:00-08:00
2026-02-19 22:36:00+00:00,125,2.8,0.8614,2.264,0.5557,0.077,0.0497,2026-02-19 14:36:00-08:00
2026-02-19 22:37:00+00:00,107,2.8505,0.9887,2.3178,0.6384,0.0956,0.0617,2026-02-19 14:37:00-08:00
2026-02-19 22:38:00+00:00,118,2.7203,0.8952,2.1695,0.4586,0.0824,0.0422,2026-02-19 14:38:00-08:00
2026-02-19 22:39:00+00:00,110,2.7909,0.825,2.1909,0.5157,0.0787,0.0492,2026-02-19 14:39:00-08:00
2026-02-19 22:40:00+00:00,120,2.7583,0.8401,2.2,0.5282,0.0767,0.0482,2026-02-19 14:40:00-08:00
2026-02-19 22:41:00+00:00,125,2.792,0.9272,2.16,0.4649,0.0829,0.0416,2026-02-19 14:41:00-08:00
2026-02-19 22:42:00+00:00,112,2.7768,1.0019,2.1964,0.481,0.0947,0.0454,2026-02-19 14:42:00-08:00
2026-02-19 22:43:00+00:00,127,2.6378,0.7935,2.2362,0.5111,0.0704,0.0454,2026-02-19 14:43:00-08:00
2026-02-19 22:44:00+00:00,119,2.8908,0.9982,2.2773,0.5955,0.0915,0.0546,2026-02-19 14:44:00-08:00
2026-02-19 22:45:00+00:00,120,2.8083,1.0232,2.1333,0.3875,0.0934,0.0354,2026-02-19 14:45:00-08:00
2026-02-19 22:46:00+00:00,120,2.8333,0.9468,2.1833,0.4296,0.0864,0.0392,2026-02-19 14:46:00-08:00
2026-02-19 22:47:00+00:00,129,2.7364,0.9314,2.2326,0.5798,0.082,0.051,2026-02-19 14:47:00-08:00
2026-02-19 22:48:00+00:00,116,2.6379,0.8172,2.1638,0.4924,0.0759,0.0457,2026-02-19 14:48:00-08:00
2026-02-19 22:49:00+00:00,114,2.8772,1.3246,2.3596,1.0981,0.1241,0.1028,2026-02-19 14:49:00-08:00
2026-02-19 22:50:00+00:00,123,2.935,1.0769,2.3008,0.7235,0.0971,0.0652,2026-02-19 14:50:00-08:00
2026-02-19 22:51:00+00:00,126,2.9127,0.9467,2.3492,0.7931,0.0843,0.0707,2026-02-19 14:51:00-08:00
2026-02-19 22:52:00+00:00,91,2.7692,0.9077,2.2198,0.5538,0.0952,0.0581,2026-02-19 14:52:00-08:00
2026-02-19 22:53:00+00:00,108,2.6204,0.8724,2.1667,0.443,0.0839,0.0426,2026-02-19 14:53:00-08:00
2026-02-19 22:54:00+00:00,105,2.7143,0.8628,2.2095,0.5132,0.0842,0.0501,2026-02-19 14:54:00-08:00
2026-02-19 22:55:00+00:00,106,2.7642,0.8229,2.3302,0.6283,0.0799,0.061,2026-02-19 14:55:00-08:00
