timestamp_utc,events,trigger_rate_hz,trigger_rate_sigma_hz,timestamp_local
2026-02-19 21:40:00+00:00,61,1.0167,0.1302,2026-02-19 13:40:00-08:00
2026-02-19 21:41:00+00:00,123,2.05,0.1848,2026-02-19 13:41:00-08:00
2026-02-19 21:42:00+00:00,100,1.6667,0.1667,2026-02-19 13:42:00-08:00
2026-02-19 21:43:00+00:00,115,1.9167,0.1787,2026-02-19 13:43:00-08:00
2026-02-19 21:44:00+00:00,113,1.8833,0.1772,2026-02-19 13:44:00-08:00
2026-02-19 21:45:00+00:00,131,2.1833,0.1908,2026-02-19 13:45:00-08:00
2026-02-19 21:46:00+00:00,103,1.7167,0.1691,2026-02-19 13:46:00-08:00
2026-02-19 21:47:00+00:00,113,1.8833,0.1772,2026-02-19 13:47:00-08:00
2026-02-19 21:48:00+00:00,105,1.75,0.1708,2026-02-19 13:48:00-08:00
2026-02-19 21:49:00+00:00,101,1.6833,0.1675,2026-02-19 13:49:00-08:00
2026-02-19 21:50:00+00:00,101,1.6833,0.1675,2026-02-19 13:50:00-08:00
2026-02-19 21:51:00+00:00,94,1.5667,0.1616,2026-02-19 13:51:00-08:00
2026-02-19 21:52:00+00:00,100,1.6667,0.1667,2026-02-19 13:52:00-08:00
2026-02-19 21:53:00+00:00,115,1.9167,0.1787,2026-02-19 13:53:00-08:00
2026-02-19 21:54:00+00:00,117,1.95,0.1803,2026-02-19 13:54:00-08:00
2026-02-19 21:55:00+00:00,101,1.6833,0.1675,2026-02-19 13:55:00-08:00
2026-02-19 21:56:00+00:00,93,1.55,0.1607,2026-02-19 13:56:00-08:00
2026-02-19 21:57:00+00:00,136,2.2667,0.1944,2026-02-19 13:57:00-08:00
2026-02-19 21:58:00+00:00,107,1.7833,0.1724,2026-02-19 13:58:00-08:00
2026-02-19 21:59:00+00:00,102,1.7,0.1683,2026-02-19 13:59:00-08:00
2026-02-19 22:00:00+00:00,120,2.0,0.1826,2026-02-19 14:00:00-08:00
2026-02-19 22:01:00+00:00,116,1.9333,0.1795,2026-02-19 14:01:00-08:00
2026-02-19 22:02:00+00:00,110,1.8333,0.1748,2026-02-19 14:02:00-08:00
2026-02-19 22:03:00+00:00,120,2.0,0.1826,2026-02-19 14:03:00-08:00
2026-02-19 22:04:00+00:00,127,2.1167,0.1878,2026-02-19 14:04:00-08:00
2026-02-19 22:05:00+00:00,114,1.9,0.178,2026-02-19 14:05:00-08:00
2026-02-19 22:06:00+00:00,113,1.8833,0.1772,2026-02-19 14:06:00-08:00
2026-02-19 22:07:00+00:00,114,1.9,0.178,2026-02-19 14:07:00-08:00
2026-02-19 22:08:00+00:00,123,2.05,0.1848,2026-02-19 14:08:00-08:00
2026-02-19 22:09:00+00:00,112,1.8667,0.1764,2026-02-19 14:09:00-08:00
2026-02-19 22:10:00+00:00,110,1.8333,0.1748,2026-02-19 14:10:00-08:00
2026-02-19 22:11:00+00:00,102,1.7,0.1683,2026-02-19 14:11:00-08:00
2026-02-19 22:12:00+00:00,115,1.9167,0.1787,2026-02-19 14:12:00-08:00
2026-02-19 22:13:00+00:00,109,1.8167,0.174,2026-02-19 14:13:00-08:00
2026-02-19 22:14:00+00:00,122,2.0333,0.1841,2026-02-19 14:14:00-08:00
2026-02-19 22:15:00+00:00,108,1.8,0.1732,2026-02-19 14:15:00-08:00
2026-02-19 22:16:00+00:00,107,1.7833,0.1724,2026-02-19 14:16:00-08:00
2026-02-19 22:17:00+00:00,136,2.2667,0.1944,2026-02-19 14:17:00-08:00
2026-02-19 22:18:00+00:00,120,2.0,0.1826,2026-02-19 14:18:00-08:00
2026-02-19 22:19:00+00:00,92,1.5333,0.1599,2026-02-19 14:19:00-08:00
2026-02-19 22:20:00+00:00,109,1.8167,0.174,2026-02-19 14:20:00-08:00
2026-02-19 22:21:00+00:00,117,1.95,0.1803,2026-02-19 14:21:00-08:00
2026-02-19 22:22:00+00:00,110,1.8333,0.1748,2026-02-19 14:22:00-08:00
2026-02-19 22:23:00+00:00,109,1.8167,0.174,2026-02-19 14:23:00-08:00
2026-02-19 22:24:00+00:00,120,2.0,0.1826,2026-02-19 14:24:00-08:00
2026-02-19 22:25:00+00:00,92,1.5333,0.1599,2026-02-19 14:25:00-08:00
2026-02-19 22:26:00+00:00,102,1.7,0.1683,2026-02-19 14:26:00-08:00
2026-02-19 22:27:00+00:00,115,1.9167,0.1787,2026-02-19 14:27:00-08:00
2026-02-19 22:28:00+00:00,105,1.75,0.1708,2026-02-19 14:28:00-08:00
2026-02-19 22:29:00+00:00,96,1.6,0.1633,2026-02-19 14:29:00-08:00
2026-02-19 22:30:00+00:00,120,2.0,0.1826,2026-02-19 14:30:00-08:00
2026-02-19 22:31:00+00:00,121,2.0167,0.1833,2026-02-19 14:31:00-08:00
2026-02-19 22:32:00+00:00,137,2.2833,0.1951,2026-02-19 14:32:00-08:00
2026-02-19 22:33:00+00:00,102,1.7,0.1683,2026-02-19 14:33:00-08:00
2026-02-19 22:34:00+00:00,110,1.8333,0.1748,2026-02-19 14:34:00-08:00
2026-02-19 22:35:00+00:00,91,1.5167,0.159,2026-02-19 14:35:00-08:00
2026-02-19 22:36:00+00:00,125,2.0833,0.1863,2026-02-19 14:36:00-08:00
2026-02-19 22:37:00+00:00,107,1.7833,0.1724,2026-02-19 14:37:00-08:00
2026-02-19 22:38:00+00:00,118,1.9667,0.181,2026-02-19 14:38:00-08:00
2026-02-19 22:39:00+00:00,110,1.8333,0.1748,2026-02-19 14:39:00-08:00
2026-02-19 22:40:00+00:00,120,2.0,0.1826,2026-02-19 14:40:00-08:00
2026-02-19 22:41:00+00:00,125,2.0833,0.1863,2026-02-19 14:41:00-08:00
2026-02-19 22:42:00+00:00,112,1.8667,0.1764,2026-02-19 14:42:00-08:00
2026-02-19 22:43:00+00:00,127,2.1167,0.1878,2026-02-19 14:43:00-08:00
2026-02-19 22:44:00+00:00,119,1.9833,0.1818,2026-02-19 14:44:00-08:00
2026-02-19 22:45:00+00:00,120,2.0,0.1826,2026-02-19 14:45:00-08:00
2026-02-19 22:46:00+00:00,120,2.0,0.1826,2026-02-19 14:46:00-08:00
2026-02-19 22:47:00+00:00,129,2.15,0.1893,2026-02-19 14:47:00-08:00
2026-02-19 22:48:00+00:00,116,1.9333,0.1795,2026-02-19 14:48:00-08:00
2026-02-19 22:49:00+00:00,114,1.9,0.178,2026-02-19 14:49:00-08:00
2026-02-19 22:50:00+00:00,123,2.05,0.1848,2026-02-19 14:50:00-08:00
2026-02-19 22:51:00+00:00,126,2.1,0.1871,2026-02-19 14:51:00-08:00
2026-02-19 22:52:00+00:00,91,1.5167,0.159,2026-02-19 14:52:00-08:00
2026-02-19 22:53:00+00:00,108,1.8,0.1732,2026-02-19 14:53:00-08:00
2026-02-19 22:54:00+00:00,105,1.75,0.1708,2026-02-19 14:54:00-08:00
2026-02-19 22:55:00+00:00,106,1.7667,0.1716,2026-02-19 14:55:00-08:00
2026-02-19 22:56:00+00:00,95,1.5833,0.1624,2026-02-19 14:56:00-08:00
2026-02-19 22:57:00+00:00,105,1.75,0.1708,2026-02-19 14:57:00-08:00
2026-02-19 22:58:00+00:00,108,1.8,0.1732,2026-02-19 14:58:00-08:00
2026-02-19 22:59:00+00:00,103,1.7167,0.1691,2026-02-19 14:59:00-08:00
2026-02-19 23:00:00+00:00,125,2.0833,0.1863,2026-02-19 15:00:00-08:00
2026-02-19 23:01:00+00:00,106,1.7667,0.1716,2026-02-19 15:01:00-08:00
2026-02-19 23:02:00+00:00,94,1.5667,0.1616,2026-02-19 15:02:00-08:00
2026-02-19 23:03:00+00:00,104,1.7333,0.17,2026-02-19 15:03:00-08:00
2026-02-19 23:04:00+00:00,119,1.9833,0.1818,2026-02-19 15:04:00-08:00
2026-02-19 23:05:00+00:00,116,1.9333,0.1795,2026-02-19 15:05:00-08:00
2026-02-19 23:06:00+00:00,101,1.6833,0.1675,2026-02-19 15:06:00-08:00
2026-02-19 23:07:00+00:00,108,1.8,0.1732,2026-02-19 15:07:00-08:00
