TStampPC,Brd,TStamp_servEvt,BrdTemp,DetTemp,FPGATemp,HVTemp,Vmon,Imon,HVstatus,BrdStatus,timestamp_utc
1771537239894,0,1771537238936,33.0,27.1,37.3,29.4,57.001,0.006,1,0x44D,2026-02-19 21:40:39.894000+00:00
1771537240895,0,1771537240007,33.0,27.1,37.5,29.5,56.995,0.006,1,0x44D,2026-02-19 21:40:40.895000+00:00
1771537241896,0,1771537241081,33.0,27.1,37.4,29.5,56.995,0.006,1,0x44D,2026-02-19 21:40:41.896000+00:00
1771537242897,0,1771537242154,33.0,27.1,37.5,29.5,56.999,0.007,1,0x44D,2026-02-19 21:40:42.897000+00:00
1771537243898,0,1771537243228,33.0,27.1,37.5,29.5,56.999,0.006,1,0x44D,2026-02-19 21:40:43.898000+00:00
1771537244899,0,1771537244302,33.0,27.1,37.7,29.6,57.003,0.006,1,0x44D,2026-02-19 21:40:44.899000+00:00
1771537245900,0,1771537245376,33.0,27.1,37.4,29.6,57.003,0.006,1,0x44D,2026-02-19 21:40:45.900000+00:00
1771537246901,0,1771537246449,33.0,27.0,37.5,29.6,57.003,0.006,1,0x44D,2026-02-19 21:40:46.901000+00:00
1771537247902,0,1771537247523,33.0,27.0,37.7,29.6,57.0,0.007,1,0x44D,2026-02-19 21:40:47.902000+00:00
1771537248903,0,1771537248597,33.0,27.0,37.5,29.7,57.001,0.006,1,0x44D,2026-02-19 21:40:48.903000+00:00
1771537249904,0,1771537249671,33.0,27.0,37.8,29.7,57.001,0.006,1,0x44D,2026-02-19 21:40:49.904000+00:00
1771537250905,0,1771537250744,33.0,27.0,37.5,29.7,57.001,0.007,1,0x44D,2026-02-19 21:40:50.905000+00:00
1771537251906,0,1771537251818,33.0,27.0,37.8,29.7,57.001,0.006,1,0x44D,2026-02-19 21:40:51.906000+00:00
1771537252907,0,1771537252892,33.0,27.0,37.7,29.7,56.997,0.006,1,0x44D,2026-02-19 21:40:52.907000+00:00
1771537253908,0,1771537252892,33.0,27.0,37.7,29.7,56.997,0.006,1,0x44D,2026-02-19 21:40:53.908000+00:00
1771537254909,0,1771537253965,33.0,27.0,37.8,29.8,57.002,0.007,1,0x44D,2026-02-19 21:40:54.909000+00:00
1771537255910,0,1771537255039,33.0,27.0,37.5,29.8,57.002,0.006,1,0x44D,2026-02-19 21:40:55.910000+00:00
1771537256911,0,1771537256113,33.0,27.0,37.9,29.8,57.002,0.006,1,0x44D,2026-02-19 21:40:56.911000+00:00
1771537257912,0,1771537257187,33.0,27.0,37.8,29.9,56.999,0.006,1,0x44D,2026-02-19 21:40:57.912000+00:00
1771537258913,0,1771537258260,33.0,27.0,37.9,29.9,56.999,0.006,1,0x44D,2026-02-19 21:40:58.913000+00:00
1771537259914,0,1771537259334,33.5,27.0,37.9,29.9,57.003,0.006,1,0x44D,2026-02-19 21:40:59.914000+00:00
1771537260915,0,1771537260408,33.5,27.0,38.0,29.9,56.999,0.006,1,0x44D,2026-02-19 21:41:00.915000+00:00
1771537261916,0,1771537261482,33.5,27.0,37.8,29.9,56.999,0.006,1,0x44D,2026-02-19 21:41:01.916000+00:00
1771537262917,0,1771537262555,33.5,27.0,37.9,30.0,57.0,0.006,1,0x44D,2026-02-19 21:41:02.917000+00:00
1771537263918,0,1771537263629,33.5,27.0,38.0,30.0,57.004,0.006,1,0x44D,2026-02-19 21:41:03.918000+00:00
1771537264919,0,1771537264703,33.5,27.0,37.9,30.0,57.0,0.007,1,0x44D,2026-02-19 21:41:04.919000+00:00
1771537265920,0,1771537265776,33.5,27.0,38.0,30.0,56.996,0.006,1,0x44D,2026-02-19 21:41:05.920000+00:00
1771537266921,0,1771537266850,33.5,27.0,37.9,30.1,57.005,0.006,1,0x44D,2026-02-19 21:41:06.921000+00:00
1771537267922,0,1771537266850,33.5,27.0,37.9,30.1,57.005,0.006,1,0x44D,2026-02-19 21:41:07.922000+00:00
1771537268923,0,1771537267964,33.5,27.0,38.0,30.1,57.001,0.006,1,0x44D,2026-02-19 21:41:08.923000+00:00
1771537269924,0,1771537268998,33.5,27.0,38.0,30.1,57.001,0.007,1,0x44D,2026-02-19 21:41:09.924000+00:00
1771537270925,0,1771537270071,33.5,27.0,38.0,30.1,56.998,0.007,1,0x44D,2026-02-19 21:41:10.925000+00:00
1771537271926,0,1771537271145,33.5,27.0,38.0,30.1,57.001,0.006,1,0x44D,2026-02-19 21:41:11.926000+00:00
1771537272927,0,1771537272219,33.5,27.0,38.1,30.2,56.999,0.006,1,0x44D,2026-02-19 21:41:12.927000+00:00
1771537273928,0,1771537273293,33.5,27.0,38.1,30.2,57.002,0.006,1,0x44D,2026-02-19 21:41:13.928000+00:00
1771537274929,0,1771537274366,33.5,27.0,38.0,30.2,56.999,0.006,1,0x44D,2026-02-19 21:41:14.929000+00:00
1771537275930,0,1771537275440,33.5,27.0,38.1,30.2,56.999,0.007,1,0x44D,2026-02-19 21:41:15.930000+00:00
1771537276931,0,1771537276514,33.5,27.0,38.1,30.2,57.002,0.006,1,0x44D,2026-02-19 21:41:16.931000+00:00
1771537277932,0,1771537277587,33.5,27.0,38.4,30.3,57.0,0.006,1,0x44D,2026-02-19 21:41:17.932000+00:00
1771537278933,0,1771537278661,33.5,27.0,38.1,30.3,56.996,0.007,1,0x44D,2026-02-19 21:41:18.933000+00:00
1771537279934,0,1771537279735,33.5,27.0,38.1,30.3,57.0,0.006,1,0x44D,2026-02-19 21:41:19.934000+00:00
1771537280935,0,1771537280809,33.5,27.0,38.3,30.3,57.0,0.006,1,0x44D,2026-02-19 21:41:20.935000+00:00
1771537281936,0,1771537281882,34.0,27.0,38.3,30.3,57.0,0.007,1,0x44D,2026-02-19 21:41:21.936000+00:00
1771537282937,0,1771537281882,34.0,27.0,38.3,30.3,57.0,0.007,1,0x44D,2026-02-19 21:41:22.937000+00:00
1771537283938,0,1771537282980,34.0,27.0,38.3,30.4,57.001,0.006,1,0x44D,2026-02-19 21:41:23.938000+00:00
